set_name,item_title,raw_price,image_url
Pokemon Battle Styles,Eevee 3-Pack Blister,$24.41,https://storage.googleapis.com/images.pricecharting.com/34000c4b9ca101d34f4799f5638aba60182bf7663649ead63ac1498270ad2b89/60.jpg
Pokemon Battle Styles,Dragonite V Box,,https://storage.googleapis.com/images.pricecharting.com/7bd415a519497396c33090dcf5bb2cf54bae1a36cf7ca521b9557b328a6c2573/60.jpg
Pokemon Battle Styles,V Powers Tin: Eternatus V,$45.00,https://storage.googleapis.com/images.pricecharting.com/genjzhz5wtde4al3/60.jpg
Pokemon Battle Styles,V Strikers Tin - Empoleon,$59.99,https://storage.googleapis.com/images.pricecharting.com/3z4fsp5porf4jizb/60.jpg
Pokemon Brilliant Stars,Booster Box,$524.71,https://storage.googleapis.com/images.pricecharting.com/230e99e882ea1a4fad096878c14b9f78a8c6e1ba3da1ea8032db6062439bbbae/60.jpg
Pokemon Brilliant Stars,Elite Trainer Box,$89.47,https://storage.googleapis.com/images.pricecharting.com/73904aeb3d2d2225d73ed2796e47502ef71717f5806487c2112b328f38bb6838/60.jpg
Pokemon Brilliant Stars,Arceus VSTAR [Premium Collection] #123,$9.50,https://storage.googleapis.com/images.pricecharting.com/76622918c3b6f89efa879c2e9cd964f0308e6712264ac448f200923e05b8b57c/60.jpg
Pokemon Brilliant Stars,Booster Pack,$8.68,https://storage.googleapis.com/images.pricecharting.com/1204703aca4ae5978bbb84369d5dded15ce40e8c5258a2de9cfbb28dec05c7d9/60.jpg
Pokemon Black & White,Booster Box,"$3,102.94",https://storage.googleapis.com/images.pricecharting.com/dc84d376a30437e08e6c894c91aab09027c0dcab9cee63f042f7b10bde17eb67/60.jpg
Pokemon Black & White,Booster Pack,$75.00,https://storage.googleapis.com/images.pricecharting.com/79de105047c99f717d74bc7d77228f8270dd6249819d012d7057c5315c125808/60.jpg
Pokemon Black & White,Sealed Zekrom Tin,$399.99,https://storage.googleapis.com/images.pricecharting.com/9228b14e063cc68df8edb57d78fe61f0c4452875ef311ee7f41c20340bd0150e/60.jpg
Pokemon Black & White,Sealed Reshiram Tin,$471.97,https://storage.googleapis.com/images.pricecharting.com/2245c051b60917ef8de23602f777b7c4ec987e1bbd3cbf9ec687f97506abe7d2/60.jpg
Pokemon Black & White,Sealed Zekrom Ex Tin,$304.25,https://storage.googleapis.com/images.pricecharting.com/wwudklg2gwrb3kxx/60.jpg
Pokemon Black & White,Blister Pack,$164.88,https://storage.googleapis.com/images.pricecharting.com/35a7fc382af80358466c62235de7ecc7f6287ab34e86e74d96485da505e9e4ca/60.jpg
